sample,structure,r,p
1,((((((((((...)))))))))),0.931618500487719,1.0780080084099842e-10
3,..((((.....((((.....)))))))),0.5902052044217533,0.0009463359007802664
4,.(((((........))))).......,0.5274537200625846,0.005622241054096302
9,........((((.....)))).,0.6825133440474702,0.0004659084739424231
11,........((......))....,0.7927027878527628,1.0886026719444434e-05
12,..((((...)))).((((......)))),0.596171275211412,0.0008141672954771372
14,(((...........)))....,0.6481901566560934,0.0014841116090709896
15,((((((.(((....))).)))))),0.48165690340311695,0.017164228594307235
16,(((((((.....))))))),0.6480977057591578,0.002692005403211071
17,..((((...))))......,0.6051705033517942,0.006043627044728105
21,..(((((....))))).....,0.5318339055613323,0.013085871873592515
22,..(((((.(((((.....)))).).))))),0.6737515019021468,4.480344722788095e-05
23,...((((........))))........,0.5540021997128455,0.002715591229962081
30,..((((..(....)..)))).....,0.5064998718078815,0.009775973984184642
35,(((..((....))..)))...,0.5532130404376774,0.009286198430381355
36,(((((((((.........))))))))),0.457950794918935,0.01630216490752184
37,((....))..........,0.8119432273067821,4.278393481601419e-05
41,.....(((((.(((...)))..)))))..,0.504193644054842,0.005289360250489443
46,..........(.(((...))).)....,0.6890006001684782,7.061774547302842e-05
47,(((.......)))............,0.7729665589603579,5.918751744416684e-06
49,(((((((((.....))))))))),0.7915887938473641,6.8262423658664844e-06
53,.(((.(...........).))),0.5548224643729921,0.0073620888635245775
57,....((.(((.....))).))..,0.43731248845180476,0.03691324495806653
58,((((......))))...........,0.7342486169162684,2.937175680612837e-05
60,..(((.......)))......,0.6406774233067577,0.0017536701451537405
64,........(((.....))).......,0.6144695851647625,0.000838563194175217
67,(((.((((...)))))))...,0.5989037721536741,0.004121388609556568
69,.((..(((((((....))))..)))..)),0.5851375547520836,0.0008556742967758347
72,.((((........)))).........,0.6219653100313146,0.0006933082797775338
73,((((((.....))))))...,0.761358712890083,9.647078402004835e-05
75,((((((((...)))))))),0.9433889814826742,1.4297887213167683e-09
80,.......((((......)))),0.7756889894892746,3.600810101239249e-05
81,..((((.(........))))),0.610582185505383,0.003284017948445934
85,......((((......))))...,0.4747327688036206,0.022081161559704472
86,.........(((....)))..,0.6176544859816239,0.0028498314808309126
88,..(((((.(.....).))))),0.589824392507979,0.004888920522139765
90,............(((....)))....,0.4874017244125534,0.011551406459318875
91,..........(((......))).,0.6640237931931049,0.0005500591821818715
94,...(.((((.........)))).).,0.5085550086237227,0.009434990016283343
96,....((((...))))......,0.45615665991678206,0.03767210490326036
97,((.(((((.....))))).)).....,0.7144556055238742,4.131348295876873e-05
99,(((((((((((....))))))))))),0.6927106578581911,8.784060913185714e-05
